Dataset,Question_Type,RAG,prompt_template,Model,Accuracy
BioASQ,yesno,None,"""{prompt}.\n{format_instructions}.\n{question}""",OpenAI,83.7%
BioASQ,yesno,OpenAI,"""{prompt} referencing the following context if necessary: {docs}.\n{format_instructions}.\n{question}""",OpenAI,89.5%
BioASQ,yesno,Golden_all,"""{prompt} based only on the following context: {docs}.\n{format_instructions}.\n{question}""",OpenAI,98.8%
BioASQ,yesno,Golden_5,"""{prompt} based only on the following context: {docs}.\n{format_instructions}.\n{question}""",OpenAI,97.7%
BioASQ,yesno,Golden_1,"""{prompt} based only on the following context: {docs}.\n{format_instructions}.\n{question}""",OpenAI,91.9%
QALM_mcq,mcq,e5,"""{format_instructions}. {prompt} based on the following context: {docs}. {question}""",OpenAI,69.9%
QALM_mcq,mcq,None,"""{format_instructions}. {prompt} {question}""",OpenAI,80.0%
QALM_mcq,mcq,None,"""{format_instructions}. {prompt} {question}""",OpenAI,73.3%
